name_ko,name_en,tasting_note,roasting,process,variety,altitude,washing_station,region,release_ym,category,no,sensory_narrative
코스타리카 엘 호코테 내추럴,COSTA RICA EL JOCOTE NATURAL,"카카오, 적포도",미디엄 라이트,내추럴,카투라,,,코스타리카 타라주,2021년 10월,싱글오리진,244.0,"코스타리카 타라주 지역의 개성이 담긴 이 커피에서는 카카오가 먼저 맑게 피어나고, 이어 적포도가 부드럽게 겹쳐지며 첫인상을 형성합니다. 과실의 농도감이 자연스럽게 확장되며 보다 풍성한 단맛으로 이어지고 중반부로 갈수록 산뜻한 여운을 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 카투라가 지닌 정돈된 산미와 단맛의 균형이 컵을 안정감 있게 이끕니다. 고도에서 오는 인상도 전체 컵을 균형감 있게 받쳐 줍니다. 마무리는 차분하고 매끈하게 이어지며, 달콤쌉싸름한 뉘앙스가 안정감 있게 남습니다. 편안한 단맛과 안정적인 바디를 선호하시는 분들께 만족도가 높습니다."
페루 잉카와시 루시오 루케,PERU INKAWASI LUCIO LUQUE,"캐러멜, 초콜릿",미디엄 라이트,워시드,"버번, 카투라, 티피카","2,100 - 2,200 MASL",,쿠스코 잉카와시,2021년 11월,싱글오리진,245.0,"쿠스코 잉카와시 지역의 개성이 담긴 이 커피에서는 캐러멜이 먼저 맑게 피어나고, 이어 초콜릿이 부드럽게 겹쳐지며 첫인상을 형성합니다. 워시드 특유의 투명한 질감이 향미의 경계를 또렷하게 세워 주고 중반부로 갈수록 산뜻한 여운을 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 버번 계열 특유의 부드러운 단맛과 둥근 질감이 전체 인상을 한층 매끄럽게 정리합니다. 높은 재배고도는 향을 더욱 선명하고 입체적으로 드러내며, 산미를 맑고 길게 이어지게 합니다. 마무리는 차분하고 매끈하게 이어지며, 달콤쌉싸름한 뉘앙스가 안정감 있게 남습니다. 편안한 단맛과 안정적인 바디를 선호하시는 분들께 만족도가 높습니다."
미카바 게이샤,MIKAVA GEISHA CM 5 DAYS,"복숭아, 장미, 라즈베리",미디엄 라이트,"내추럴, 탄산 침용",게이샤,"2,000 MASL",,리사랄다 산투아리오,2021년 10월,싱글오리진,246.0,"리사랄다 산투아리오 지역의 개성이 담긴 이 커피에서는 복숭아가 먼저 맑게 피어나고, 이어 장미가 부드럽게 겹쳐지며 첫인상을 형성합니다. 발효에서 비롯된 입체적인 인상이 더해져 향미의 층위가 한층 깊어지고 중반부로 갈수록 라즈베리를 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 게이샤 품종 특유의 섬세한 플로럴함과 길고 우아한 여운이 중심을 잡습니다. 높은 재배고도는 향을 더욱 선명하고 입체적으로 드러내며, 산미를 맑고 길게 이어지게 합니다. 후반부로 갈수록 과실의 농도감이 부드럽게 번지며 생기 있는 피니시를 남깁니다. 화려한 과실감과 복합적인 향미를 즐기시는 분들께 좋은 선택이 됩니다."
미카바 게이샤,MIKAVA GEISHA CM 20 DAYS,"카카오, 청포도, 멜론",미디엄 라이트,"내추럴, 탄산 침용",게이샤,"2,000 MASL",,리사랄다 산투아리오,2021년 10월,싱글오리진,247.0,"리사랄다 산투아리오 지역의 개성이 담긴 이 커피에서는 카카오가 먼저 맑게 피어나고, 이어 청포도가 부드럽게 겹쳐지며 첫인상을 형성합니다. 발효에서 비롯된 입체적인 인상이 더해져 향미의 층위가 한층 깊어지고 중반부로 갈수록 멜론을 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 게이샤 품종 특유의 섬세한 플로럴함과 길고 우아한 여운이 중심을 잡습니다. 높은 재배고도는 향을 더욱 선명하고 입체적으로 드러내며, 산미를 맑고 길게 이어지게 합니다. 마무리는 차분하고 매끈하게 이어지며, 달콤쌉싸름한 뉘앙스가 안정감 있게 남습니다. 편안한 단맛과 안정적인 바디를 선호하시는 분들께 만족도가 높습니다."
르완다 부프 냐루시자 레드 버번,RWANDA BUF NYARUSIZA RED BOURBON,오렌지,미디엄 라이트,워시드,레드 버번,"1,700 - 1,800 MASL",,남 르완다,2021년 11월,싱글오리진,249.0,"남 르완다 지역의 개성이 담긴 이 커피에서는 오렌지가 먼저 맑게 피어나고, 이어 은은한 단맛이 부드럽게 겹쳐지며 첫인상을 형성합니다. 워시드 특유의 투명한 질감이 향미의 경계를 또렷하게 세워 주고 중반부로 갈수록 산뜻한 여운을 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 버번 계열 특유의 부드러운 단맛과 둥근 질감이 전체 인상을 한층 매끄럽게 정리합니다. 중고도의 재배 환경이 단맛과 산미의 균형을 잘 잡아 주며 부드러운 구조감을 만들어 냅니다. 끝맛은 가볍고 투명하게 정리되며, 여운은 길고 깨끗하게 이어집니다. 천천히 식혀 마실수록 표정이 달라지는 매력을 지닌 원두입니다."
에티오피아 구지 샤키소 티마 내추럴,ETHIOPIA GUJI SHAKISO TIMA NATURAL,"블루베리, 초콜릿",미디엄 라이트,내추럴,에어룸,"2,000-2,178 MASL",,에티오피아 구지 샤키소,2021년 11월,싱글오리진,250.0,"에티오피아 구지 샤키소 지역의 개성이 담긴 이 커피에서는 블루베리가 먼저 맑게 피어나고, 이어 초콜릿이 부드럽게 겹쳐지며 첫인상을 형성합니다. 과실의 농도감이 자연스럽게 확장되며 보다 풍성한 단맛으로 이어지고 중반부로 갈수록 산뜻한 여운을 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 에티오피아 계열 품종 특유의 야생화 같은 향과 복합성이 잔 안에서 자연스럽게 펼쳐집니다. 높은 재배고도는 향을 더욱 선명하고 입체적으로 드러내며, 산미를 맑고 길게 이어지게 합니다. 마무리는 차분하고 매끈하게 이어지며, 달콤쌉싸름한 뉘앙스가 안정감 있게 남습니다. 편안한 단맛과 안정적인 바디를 선호하시는 분들께 만족도가 높습니다."
휘게,HYEGGE BLEND,"카카오 닙스, 베리의 여운",미디엄 라이트,,,,,,2021년 12월,블렌드,30.0,"이 커피에서는 카카오 닙스가 먼저 맑게 피어나고, 이어 베리의 여운이 부드럽게 겹쳐지며 첫인상을 형성합니다. 가공 방식이 만드는 결도 과하지 않게 정돈되어 중반부로 갈수록 산뜻한 여운을 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 품종이 지닌 고유한 개성 또한 컵의 균형을 안정감 있게 받쳐 줍니다. 고도에서 오는 인상도 전체 컵을 균형감 있게 받쳐 줍니다. 마무리는 차분하고 매끈하게 이어지며, 달콤쌉싸름한 뉘앙스가 안정감 있게 남습니다. 편안한 단맛과 안정적인 바디를 선호하시는 분들께 만족도가 높습니다."
멕시코 산타 크루스 오솔로테펙,MEXICO SANTA CRUZ OZOLOTEPEC,"옥수수, 캐러멜",미디엄,워시드,플루마 이달고,"1,500 - 1,800MASL",,멕시코 와하카,2021년 12월,싱글오리진,251.0,"멕시코 와하카 지역의 개성이 담긴 이 커피에서는 옥수수가 먼저 맑게 피어나고, 이어 캐러멜이 부드럽게 겹쳐지며 첫인상을 형성합니다. 워시드 특유의 투명한 질감이 향미의 경계를 또렷하게 세워 주고 중반부로 갈수록 산뜻한 여운을 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 플루마 이달고 품종이 지닌 고유한 성격이 컵의 개성을 또렷하게 만들어 줍니다. 중고도의 재배 환경이 단맛과 산미의 균형을 잘 잡아 주며 부드러운 구조감을 만들어 냅니다. 끝맛은 과하지 않게 정리되면서도 전체 인상은 또렷하게 오래 남습니다. 천천히 식혀 마실수록 표정이 달라지는 매력을 지닌 원두입니다."
코스타리카 엘 베나도 옐로우 허니,COSTARICA EL VENADO YELLOW HONEY,"흑설탕, 열대과일",미디엄 라이트,옐로우 허니,SL28,"1,650 MASL",,나리뇨 웨스트 벨리,2021년 12월,싱글오리진,252.0,"나리뇨 웨스트 벨리 지역의 개성이 담긴 이 커피에서는 흑설탕이 먼저 맑게 피어나고, 이어 열대과일이 부드럽게 겹쳐지며 첫인상을 형성합니다. 허니 프로세스가 단맛과 질감을 부드럽게 이어 주며 컵의 결을 매끈하게 다듬고 중반부로 갈수록 산뜻한 여운을 떠올리게 하는 뉘앙스가 한층 또렷해집니다. SL 계열 품종이 만들어 내는 선명한 산미와 짙은 과실감이 컵의 중심을 또렷하게 세웁니다. 중고도의 재배 환경이 단맛과 산미의 균형을 잘 잡아 주며 부드러운 구조감을 만들어 냅니다. 끝맛은 가볍고 투명하게 정리되며, 여운은 길고 깨끗하게 이어집니다. 천천히 식혀 마실수록 표정이 달라지는 매력을 지닌 원두입니다."
콜롬비아 조안 베르가라 자바,COLUMBIA JOHAN VERGARA JAVA,"토바코, 베리",라이트,워시드,자바,"1,550 - 1,650 MASL",,콜롬비아 우일라,2021년 12월,싱글오리진,253.0,"콜롬비아 우일라 지역의 개성이 담긴 이 커피에서는 토바코가 먼저 맑게 피어나고, 이어 베리가 부드럽게 겹쳐지며 첫인상을 형성합니다. 워시드 특유의 투명한 질감이 향미의 경계를 또렷하게 세워 주고 중반부로 갈수록 산뜻한 여운을 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 자바 품종이 지닌 고유한 성격이 컵의 개성을 또렷하게 만들어 줍니다. 중고도의 재배 환경이 단맛과 산미의 균형을 잘 잡아 주며 부드러운 구조감을 만들어 냅니다. 후반부로 갈수록 과실의 농도감이 부드럽게 번지며 생기 있는 피니시를 남깁니다. 화려한 과실감과 복합적인 향미를 즐기시는 분들께 좋은 선택이 됩니다."
에티오피아 구지 우라가 수케,,"복숭아, 재스민 꽃",라이트,워시드,데카,"1,900 - 2,100 MASL",,오로미아,2020년 12월,싱글오리진,222.0,"오로미아 지역의 개성이 담긴 이 커피에서는 복숭아가 먼저 맑게 피어나고, 이어 재스민 꽃이 부드럽게 겹쳐지며 첫인상을 형성합니다. 워시드 특유의 투명한 질감이 향미의 경계를 또렷하게 세워 주고 중반부로 갈수록 산뜻한 여운을 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 데카 품종이 지닌 고유한 성격이 컵의 개성을 또렷하게 만들어 줍니다. 높은 재배고도는 향을 더욱 선명하고 입체적으로 드러내며, 산미를 맑고 길게 이어지게 합니다. 끝맛은 깨끗하고 화사하게 정리되며, 잔향에는 꽃 향기 같은 가벼운 울림이 오래 남습니다. 섬세한 향의 결와 맑은 산미를 선호하시는 분들께 특히 인상적으로 다가갈 원두입니다."
스윗 투스,SWEET TOOTH,"다크초콜릿, 베리, 헤이즐넛",미디엄,,,,,,2020년 12월,블렌드,22.0,"이 커피에서는 다크초콜릿이 먼저 맑게 피어나고, 이어 베리가 부드럽게 겹쳐지며 첫인상을 형성합니다. 가공 방식이 만드는 결도 과하지 않게 정돈되어 중반부로 갈수록 헤이즐넛을 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 품종이 지닌 고유한 개성 또한 컵의 균형을 안정감 있게 받쳐 줍니다. 고도에서 오는 인상도 전체 컵을 균형감 있게 받쳐 줍니다. 마무리는 차분하고 매끈하게 이어지며, 달콤쌉싸름한 뉘앙스가 안정감 있게 남습니다. 편안한 단맛과 안정적인 바디를 선호하시는 분들께 만족도가 높습니다."
콜롬비아 하이로 아르실라 EF1 내추럴,COLOMBIA JAIRO ARCILA EF1 NATURAL,"딸기, 카카오",미디엄 라이트,EF1 내추럴,카스티요,"1,400 - 1,450 MASL",,퀸디오,2020년 11월,싱글오리진,219.0,"퀸디오 지역의 개성이 담긴 이 커피에서는 딸기가 먼저 맑게 피어나고, 이어 카카오가 부드럽게 겹쳐지며 첫인상을 형성합니다. 과실의 농도감이 자연스럽게 확장되며 보다 풍성한 단맛으로 이어지고 중반부로 갈수록 산뜻한 여운을 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 카스티요가 보여 주는 안정적인 단맛과 부드러운 컵 프로파일이 밸런스를 잘 받쳐 줍니다. 상대적으로 안정적인 재배고도에서 오는 편안한 단맛과 둥근 바디가 컵 전반에 자연스럽게 남습니다. 마무리는 차분하고 매끈하게 이어지며, 달콤쌉싸름한 뉘앙스가 안정감 있게 남습니다. 편안한 단맛과 안정적인 바디를 선호하시는 분들께 만족도가 높습니다."
과테말라 부에나 비스타 허니,GUATEMALA BUENA VISTA HONEY,"마카다미아, 카야잼",미디엄 라이트,허니,카투아이 & 카투라,"1,870 MASL",,산타 로사,2020년 11월,싱글오리진,220.0,"산타 로사 지역의 개성이 담긴 이 커피에서는 마카다미아가 먼저 맑게 피어나고, 이어 카야잼이 부드럽게 겹쳐지며 첫인상을 형성합니다. 허니 프로세스가 단맛과 질감을 부드럽게 이어 주며 컵의 결을 매끈하게 다듬고 중반부로 갈수록 산뜻한 여운을 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 카투아이 계열의 친숙한 단맛과 안정적인 밸런스가 편안한 인상을 더합니다. 충분한 재배고도 덕분에 산미와 향의 윤곽이 뚜렷하게 살아나며 컵의 투명감이 좋아집니다. 마무리는 차분하고 매끈하게 이어지며, 달콤쌉싸름한 뉘앙스가 안정감 있게 남습니다. 편안한 단맛과 안정적인 바디를 선호하시는 분들께 만족도가 높습니다."
에티오피아 아가로 나노 겐지,,"무화과, 황도",라이트,워시드,에어룸,"1,900 - 2,220 MASL",,짐마,2020년 11월,싱글오리진,218.0,"짐마 지역의 개성이 담긴 이 커피에서는 무화과가 먼저 맑게 피어나고, 이어 황도가 부드럽게 겹쳐지며 첫인상을 형성합니다. 워시드 특유의 투명한 질감이 향미의 경계를 또렷하게 세워 주고 중반부로 갈수록 산뜻한 여운을 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 에티오피아 계열 품종 특유의 야생화 같은 향과 복합성이 잔 안에서 자연스럽게 펼쳐집니다. 높은 재배고도는 향을 더욱 선명하고 입체적으로 드러내며, 산미를 맑고 길게 이어지게 합니다. 끝맛은 가볍고 투명하게 정리되며, 여운은 길고 깨끗하게 이어집니다. 천천히 식혀 마실수록 표정이 달라지는 매력을 지닌 원두입니다."
케냐 트윈 리버,AA,"열대과일, 캐러멜",미디엄 라이트,워시드,"SL28, SL34 & Ruiru 11","1,500 - 1,650 MASL",,키암부,2020년 10월,싱글오리진,215.0,"키암부 지역의 개성이 담긴 이 커피에서는 열대과일이 먼저 맑게 피어나고, 이어 캐러멜이 부드럽게 겹쳐지며 첫인상을 형성합니다. 워시드 특유의 투명한 질감이 향미의 경계를 또렷하게 세워 주고 중반부로 갈수록 산뜻한 여운을 떠올리게 하는 뉘앙스가 한층 또렷해집니다. SL 계열 품종이 만들어 내는 선명한 산미와 짙은 과실감이 컵의 중심을 또렷하게 세웁니다. 상대적으로 안정적인 재배고도에서 오는 편안한 단맛과 둥근 바디가 컵 전반에 자연스럽게 남습니다. 끝맛은 가볍고 투명하게 정리되며, 여운은 길고 깨끗하게 이어집니다. 천천히 식혀 마실수록 표정이 달라지는 매력을 지닌 원두입니다."
과테말라 아티틀란 티나밋,GUATEMALA ATITLAN TINAMIT,통아몬드캔디,라이트,워시드,"버번, 카투라","1,500 - 2,000 MASL",,아티틀란,2020년 10월,싱글오리진,214.0,"아티틀란 지역의 개성이 담긴 이 커피에서는 통아몬드캔디가 먼저 맑게 피어나고, 이어 은은한 단맛이 부드럽게 겹쳐지며 첫인상을 형성합니다. 워시드 특유의 투명한 질감이 향미의 경계를 또렷하게 세워 주고 중반부로 갈수록 산뜻한 여운을 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 버번 계열 특유의 부드러운 단맛과 둥근 질감이 전체 인상을 한층 매끄럽게 정리합니다. 중고도의 재배 환경이 단맛과 산미의 균형을 잘 잡아 주며 부드러운 구조감을 만들어 냅니다. 마무리는 차분하고 매끈하게 이어지며, 달콤쌉싸름한 뉘앙스가 안정감 있게 남습니다. 편안한 단맛과 안정적인 바디를 선호하시는 분들께 만족도가 높습니다."
에티오피아 고모로 101 무산소 내추럴,ETHIOPIA GOMORO 101 ANAEROBIC,"카카오닙스, 블랙올리브, 무화과 잼, 꼬냑",미디엄 라이트,무산소 내추럴,에어룸 & JARC 74,"2,000 - 2,300 MASL",,구지,2020년 10월,싱글오리진,217.0,"구지 지역의 개성이 담긴 이 커피에서는 카카오닙스가 먼저 맑게 피어나고, 이어 블랙올리브가 부드럽게 겹쳐지며 첫인상을 형성합니다. 발효에서 비롯된 입체적인 인상이 더해져 향미의 층위가 한층 깊어지고 중반부로 갈수록 무화과 잼을 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 에티오피아 계열 품종 특유의 야생화 같은 향과 복합성이 잔 안에서 자연스럽게 펼쳐집니다. 높은 재배고도는 향을 더욱 선명하고 입체적으로 드러내며, 산미를 맑고 길게 이어지게 합니다. 마무리는 차분하고 매끈하게 이어지며, 달콤쌉싸름한 뉘앙스가 안정감 있게 남습니다. 편안한 단맛과 안정적인 바디를 선호하시는 분들께 만족도가 높습니다."
에티오피아 고모로 블랙 허니,ETHIOPIA GOMORO BLACK HONEY,"블랙커런트, 파넬라슈거",라이트,블랙 허니,에어룸,"2,000 - 2,300 MASL",,구지,2020년 10월,싱글오리진,216.0,"구지 지역의 개성이 담긴 이 커피에서는 블랙커런트가 먼저 맑게 피어나고, 이어 파넬라슈거가 부드럽게 겹쳐지며 첫인상을 형성합니다. 허니 프로세스가 단맛과 질감을 부드럽게 이어 주며 컵의 결을 매끈하게 다듬고 중반부로 갈수록 산뜻한 여운을 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 에티오피아 계열 품종 특유의 야생화 같은 향과 복합성이 잔 안에서 자연스럽게 펼쳐집니다. 높은 재배고도는 향을 더욱 선명하고 입체적으로 드러내며, 산미를 맑고 길게 이어지게 합니다. 후반부로 갈수록 과실의 농도감이 부드럽게 번지며 생기 있는 피니시를 남깁니다. 화려한 과실감과 복합적인 향미를 즐기시는 분들께 좋은 선택이 됩니다."
에티오피아 헤일로 베리티,ETHIOPIA HALO BERITI,"황도, 자두, 캐러멜",미디엄,워시드,에어룸,"2,200 - 2,300 MASL",,게뎁,2020년 9월,싱글오리진,211.0,"게뎁 지역의 개성이 담긴 이 커피에서는 황도가 먼저 맑게 피어나고, 이어 자두가 부드럽게 겹쳐지며 첫인상을 형성합니다. 워시드 특유의 투명한 질감이 향미의 경계를 또렷하게 세워 주고 중반부로 갈수록 캐러멜을 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 에티오피아 계열 품종 특유의 야생화 같은 향과 복합성이 잔 안에서 자연스럽게 펼쳐집니다. 높은 재배고도는 향을 더욱 선명하고 입체적으로 드러내며, 산미를 맑고 길게 이어지게 합니다. 끝맛은 과하지 않게 정리되면서도 전체 인상은 또렷하게 오래 남습니다. 천천히 식혀 마실수록 표정이 달라지는 매력을 지닌 원두입니다."
코스타리카 라스 라하스 페를라 네그라,COSTA RICA LAS LAJAS PERLA NEGRA,"캠벨 포도, 레드와인",미디엄 라이트,내추럴(페를라 네그라),"카투라, 카투아이","1,600 - 2,300 MASL",,센트럴 벨리,2020년 9월,싱글오리진,212.0,"센트럴 벨리 지역의 개성이 담긴 이 커피에서는 캠벨 포도가 먼저 맑게 피어나고, 이어 레드와인이 부드럽게 겹쳐지며 첫인상을 형성합니다. 과실의 농도감이 자연스럽게 확장되며 보다 풍성한 단맛으로 이어지고 중반부로 갈수록 산뜻한 여운을 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 카투아이 계열의 친숙한 단맛과 안정적인 밸런스가 편안한 인상을 더합니다. 충분한 재배고도 덕분에 산미와 향의 윤곽이 뚜렷하게 살아나며 컵의 투명감이 좋아집니다. 끝맛은 가볍고 투명하게 정리되며, 여운은 길고 깨끗하게 이어집니다. 화려한 과실감과 복합적인 향미를 즐기시는 분들께 좋은 선택이 됩니다."
과테말라 엘 소코로 마라카투라,,,미디엄 라이트,워시드,마라카투라,"1,540 - 1,860 MASL",,팔렌시아,2020년 9월,싱글오리진,213.0,"팔렌시아 지역의 개성이 담긴 이 커피에서는 첫 향이 먼저 맑게 피어나고, 이어 은은한 단맛이 부드럽게 겹쳐지며 첫인상을 형성합니다. 워시드 특유의 투명한 질감이 향미의 경계를 또렷하게 세워 주고 중반부로 갈수록 산뜻한 여운을 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 카투라가 지닌 정돈된 산미와 단맛의 균형이 컵을 안정감 있게 이끕니다. 중고도의 재배 환경이 단맛과 산미의 균형을 잘 잡아 주며 부드러운 구조감을 만들어 냅니다. 끝맛은 가볍고 투명하게 정리되며, 여운은 길고 깨끗하게 이어집니다. 천천히 식혀 마실수록 표정이 달라지는 매력을 지닌 원두입니다."
콜롬비아 몬테블랑코 게이샤,,,미디엄 라이트,워시드,게이샤,"1,730 MASL",,우일라,2020년 8월,싱글오리진,209.0,"우일라 지역의 개성이 담긴 이 커피에서는 첫 향이 먼저 맑게 피어나고, 이어 은은한 단맛이 부드럽게 겹쳐지며 첫인상을 형성합니다. 워시드 특유의 투명한 질감이 향미의 경계를 또렷하게 세워 주고 중반부로 갈수록 산뜻한 여운을 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 게이샤 품종 특유의 섬세한 플로럴함과 길고 우아한 여운이 중심을 잡습니다. 중고도의 재배 환경이 단맛과 산미의 균형을 잘 잡아 주며 부드러운 구조감을 만들어 냅니다. 끝맛은 가볍고 투명하게 정리되며, 여운은 길고 깨끗하게 이어집니다. 천천히 식혀 마실수록 표정이 달라지는 매력을 지닌 원두입니다."
르완다 후예 마운틴,,,미디엄 라이트,워시드,레드 버번,"1,600 - 2,300 MASL",,후예,2020년 8월,싱글오리진,207.0,"후예 지역의 개성이 담긴 이 커피에서는 첫 향이 먼저 맑게 피어나고, 이어 은은한 단맛이 부드럽게 겹쳐지며 첫인상을 형성합니다. 워시드 특유의 투명한 질감이 향미의 경계를 또렷하게 세워 주고 중반부로 갈수록 산뜻한 여운을 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 버번 계열 특유의 부드러운 단맛과 둥근 질감이 전체 인상을 한층 매끄럽게 정리합니다. 충분한 재배고도 덕분에 산미와 향의 윤곽이 뚜렷하게 살아나며 컵의 투명감이 좋아집니다. 끝맛은 가볍고 투명하게 정리되며, 여운은 길고 깨끗하게 이어집니다. 천천히 식혀 마실수록 표정이 달라지는 매력을 지닌 원두입니다."
페루 세군도 바스케스,,,미디엄 라이트,내추럴,카투라 & 버번,"1,650 - 1,750 MASL",,카하마르카,2020년 8월,싱글오리진,208.0,"카하마르카 지역의 개성이 담긴 이 커피에서는 첫 향이 먼저 맑게 피어나고, 이어 은은한 단맛이 부드럽게 겹쳐지며 첫인상을 형성합니다. 과실의 농도감이 자연스럽게 확장되며 보다 풍성한 단맛으로 이어지고 중반부로 갈수록 산뜻한 여운을 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 버번 계열 특유의 부드러운 단맛과 둥근 질감이 전체 인상을 한층 매끄럽게 정리합니다. 중고도의 재배 환경이 단맛과 산미의 균형을 잘 잡아 주며 부드러운 구조감을 만들어 냅니다. 끝맛은 가볍고 투명하게 정리되며, 여운은 길고 깨끗하게 이어집니다. 천천히 식혀 마실수록 표정이 달라지는 매력을 지닌 원두입니다."
부룬디 말리다디,,,미디엄 라이트,워시드,버번,"1,820 MASL",,카얀자,2020년 7월,싱글오리진,205.0,"카얀자 지역의 개성이 담긴 이 커피에서는 첫 향이 먼저 맑게 피어나고, 이어 은은한 단맛이 부드럽게 겹쳐지며 첫인상을 형성합니다. 워시드 특유의 투명한 질감이 향미의 경계를 또렷하게 세워 주고 중반부로 갈수록 산뜻한 여운을 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 버번 계열 특유의 부드러운 단맛과 둥근 질감이 전체 인상을 한층 매끄럽게 정리합니다. 충분한 재배고도 덕분에 산미와 향의 윤곽이 뚜렷하게 살아나며 컵의 투명감이 좋아집니다. 끝맛은 가볍고 투명하게 정리되며, 여운은 길고 깨끗하게 이어집니다. 천천히 식혀 마실수록 표정이 달라지는 매력을 지닌 원두입니다."
케냐 루케라,AA,,미디엄 라이트,워시드,"SL28, SL34 & Ruiru11","1,500 - 1,600 MASL",,루이루,2020년 7월,싱글오리진,206.0,"루이루 지역의 개성이 담긴 이 커피에서는 첫 향이 먼저 맑게 피어나고, 이어 은은한 단맛이 부드럽게 겹쳐지며 첫인상을 형성합니다. 워시드 특유의 투명한 질감이 향미의 경계를 또렷하게 세워 주고 중반부로 갈수록 산뜻한 여운을 떠올리게 하는 뉘앙스가 한층 또렷해집니다. SL 계열 품종이 만들어 내는 선명한 산미와 짙은 과실감이 컵의 중심을 또렷하게 세웁니다. 상대적으로 안정적인 재배고도에서 오는 편안한 단맛과 둥근 바디가 컵 전반에 자연스럽게 남습니다. 끝맛은 가볍고 투명하게 정리되며, 여운은 길고 깨끗하게 이어집니다. 천천히 식혀 마실수록 표정이 달라지는 매력을 지닌 원두입니다."
데이드림,DAYDREAM,"복숭아, 흑설탕",미디엄 라이트,,,,,,2020년 7월,블렌드,21.0,"이 커피에서는 복숭아가 먼저 맑게 피어나고, 이어 흑설탕이 부드럽게 겹쳐지며 첫인상을 형성합니다. 가공 방식이 만드는 결도 과하지 않게 정돈되어 중반부로 갈수록 산뜻한 여운을 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 품종이 지닌 고유한 개성 또한 컵의 균형을 안정감 있게 받쳐 줍니다. 고도에서 오는 인상도 전체 컵을 균형감 있게 받쳐 줍니다. 끝맛은 가볍고 투명하게 정리되며, 여운은 길고 깨끗하게 이어집니다. 천천히 식혀 마실수록 표정이 달라지는 매력을 지닌 원두입니다."
콜롬비아 닐슨 로페스,,,미디엄 라이트,워시드,카투라,"1,850 MASL",,나리뇨,2020년 6월,싱글오리진,202.0,"나리뇨 지역의 개성이 담긴 이 커피에서는 첫 향이 먼저 맑게 피어나고, 이어 은은한 단맛이 부드럽게 겹쳐지며 첫인상을 형성합니다. 워시드 특유의 투명한 질감이 향미의 경계를 또렷하게 세워 주고 중반부로 갈수록 산뜻한 여운을 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 카투라가 지닌 정돈된 산미와 단맛의 균형이 컵을 안정감 있게 이끕니다. 충분한 재배고도 덕분에 산미와 향의 윤곽이 뚜렷하게 살아나며 컵의 투명감이 좋아집니다. 끝맛은 가볍고 투명하게 정리되며, 여운은 길고 깨끗하게 이어집니다. 천천히 식혀 마실수록 표정이 달라지는 매력을 지닌 원두입니다."
르완다 부프 우무라지,,,미디엄 라이트,내추럴,레드 버번,"1,750 - 2,100 MASL",,후예,2020년 6월,싱글오리진,203.0,"후예 지역의 개성이 담긴 이 커피에서는 첫 향이 먼저 맑게 피어나고, 이어 은은한 단맛이 부드럽게 겹쳐지며 첫인상을 형성합니다. 과실의 농도감이 자연스럽게 확장되며 보다 풍성한 단맛으로 이어지고 중반부로 갈수록 산뜻한 여운을 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 버번 계열 특유의 부드러운 단맛과 둥근 질감이 전체 인상을 한층 매끄럽게 정리합니다. 충분한 재배고도 덕분에 산미와 향의 윤곽이 뚜렷하게 살아나며 컵의 투명감이 좋아집니다. 끝맛은 가볍고 투명하게 정리되며, 여운은 길고 깨끗하게 이어집니다. 천천히 식혀 마실수록 표정이 달라지는 매력을 지닌 원두입니다."
